IMDbID,Genre,Released,Title,IMDbRating,Type,Synopsis,ImageURL
tt7286456,"['Crime', 'Drama', 'Thriller']",2019,Joker,8.5,movie,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.","['https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg']"
tt2311530,"['Mystery', 'Thriller']",2019,Lost Angelas,8.5,movie,"Best actress nominee Angela Rose is missing and the only lead to her over-publicized disappearance is her ex-fiancé and struggling screenwriter, Jake Hart. Searching for Angela and haunted ...","['https://m.media-amazon.com/images/M/MV5BNTI0MjdkMjEtNDAxYS00M2RiLWEzYjItZTEyMjUyN2ZmNzE1XkEyXkFqcGdeQXVyMDg4MDIyOA@@._V1_UX182_CR0,0,182,268_AL_.jpg']"
tt11808270,"['Fantasy', 'Horror', 'Thriller']",2020,Death files,8.4,movie,"One day 2 locksmith found at the old warehouse the flash card. One of him activate the flash card at computer and opened the shocking world of mysterious creatures, broken lives and violence.","['https://m.media-amazon.com/images/M/MV5BNWE5Y2I1YmEtMDYwNC00ODEyLWE0YzMtNzFkY2VkNzYzY2RjXkEyXkFqcGdeQXVyNDcwNDE0Nzk@._V1_UX182_CR0,0,182,268_AL_.jpg']"
tt11750260,"['Crime', 'Horror', 'Thriller']",2020,The Mountain Kings,8.4,movie,"Three friends take a dark journey into murder, mayhem and movie-making in this raw and unflinching experimental feature film.","['https://m.media-amazon.com/images/M/MV5BMTFhMzRhNWItOGVmNS00NjFiLTkxMGUtMzQ2ZjZkYWQzYWUwXkEyXkFqcGdeQXVyMjMxMjk2NjU@._V1_UY268_CR5,0,182,268_AL_.jpg']"
tt11382384,"['Crime', 'Documentary', 'Thriller']",2020,The Dissident,8.4,movie,"When Washington Post journalist Jamal Khashoggi disappears in Istanbul, his fiancée and dissidents around the world piece together the clues to a murder and expose a global cover up.","['https://m.media-amazon.com/images/M/MV5BYjBmODkyMGItM2Y1Yy00YThmLWIyOWItNzA4MzhlMjU2ZmQyXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_UY268_CR147,0,182,268_AL_.jpg']"
tt9827998,['Thriller'],2019,Pearl Part 2,8.3,movie,,"['https://m.media-amazon.com/images/M/MV5BY2JiNWQyN2MtZWQ5Zi00N2ZmLTkzNDUtM2ExYjQ1YWJhYTJiXkEyXkFqcGdeQXVyMTAzNTk1ODI@._V1_UY268_CR11,0,182,268_AL_.jpg']"
tt8108198,"['Crime', 'Thriller']",2018,Andhadhun,8.3,movie,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.","['https://m.media-amazon.com/images/M/MV5BZWZhMjhhZmYtOTIzOC00MGYzLWI1OGYtM2ZkN2IxNTI4ZWI3XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_UY268_CR1,0,182,268_AL_.jpg']"
tt10474432,"['Crime', 'Thriller']",2018,Ratchasaan,8.3,movie,,[]
tt4132230,"['Biography', 'Documentary', 'Thriller']",2015,Chet Zar: I Like to Paint Monsters,8.3,movie,"I Like to Paint Monsters examines the life and career of Chet Zar, Painter of Dark. Zar is known for his work as a Special FX artist on Hellboy and Hellboy II, among many other Hollywood ...","['https://m.media-amazon.com/images/M/MV5BNDE4MDU5NzUyMV5BMl5BanBnXkFtZTgwMTgzODI0NTE@._V1_UY268_CR3,0,182,268_AL_.jpg']"
tt3747436,['Thriller'],2020,The Legend of Kate Kensington,8.3,movie,"The year is 1941 and a young woman, Kate Kensington, struggles with the loss of her fiancee who was stationed at Pearl Harbor. Due to the tragic loss she falls into severe depression. Her ...","['https://m.media-amazon.com/images/M/MV5BM2YwYmQ5ZmUtY2ZiMS00OWM4LTg4MmQtZGE4NjM3OWRkN2NhXkEyXkFqcGdeQXVyNTI4OTM1NDU@._V1_UY268_CR0,0,182,268_AL_.jpg']"
tt8372094,"['Drama', 'Thriller']",2020,The Education of Fredrick Fitzell,8.2,movie,"After a chance encounter with a man forgotten from his youth, Fred literally and metaphorically journeys into his past.","['https://m.media-amazon.com/images/M/MV5BOWE0YzdlNGQtOTYwNi00MTFkLTg5NzUtNDYwYzQ5ZGUwZjJiXkEyXkFqcGdeQXVyMzE0NjgxOTA@._V1_UX182_CR0,0,182,268_AL_.jpg']"
